,code,weight,_OS_CREATED_AT,OS_MERCHANT,OS_HANDLE,INFLUENCER_HANDLE,CODE
13,FEMALE,0.583863,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,sonabonds,1662975145
14,FEMALE,0.583863,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,sonabonds,1662645528
15,MALE,0.416137,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,sonabonds,1662645528
16,FEMALE,0.584198,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,sonabonds,1664431621
17,MALE,0.415802,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,sonabonds,1664431621
18,FEMALE,0.471343,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,theregoesjonathan,1662645345
19,MALE,0.528657,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,theregoesjonathan,1662645345
20,FEMALE,0.471343,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,theregoesjonathan,1664431623
21,MALE,0.528657,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,theregoesjonathan,1664431623
22,MALE,0.528657,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,theregoesjonathan,1662975121
23,FEMALE,0.471343,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,theregoesjonathan,1662975121
24,MALE,0.441317,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,mizzerybell,1664431845
25,FEMALE,0.558683,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,mizzerybell,1664431845
26,FEMALE,0.558683,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,mizzerybell,1662645791
27,MALE,0.441317,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,mizzerybell,1662645791
28,MALE,0.441317,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,mizzerybell,1662974792
29,FEMALE,0.558683,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,mizzerybell,1662974792
30,MALE,0.408289,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,lisettejyoga,1662974830
31,FEMALE,0.591711,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,lisettejyoga,1662974830
32,MALE,0.408289,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,lisettejyoga,1664431613
33,FEMALE,0.591711,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,lisettejyoga,1664431613
34,FEMALE,0.591711,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,lisettejyoga,1662645669
35,MALE,0.408289,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,lisettejyoga,1662645669
36,MALE,0.192199,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,satisfylagoon,1664431864
37,FEMALE,0.807801,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,satisfylagoon,1664431864
38,FEMALE,0.807801,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,satisfylagoon,1662974792
39,MALE,0.192199,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,satisfylagoon,1662974792
40,FEMALE,0.807801,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,satisfylagoon,1662645663
41,MALE,0.192199,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,satisfylagoon,1662645663
42,MALE,0.577085,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,aryyzona,1662974735
43,FEMALE,0.422915,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,aryyzona,1662974735
