,id,name,_OS_CREATED_AT,OS_MERCHANT,OS_HANDLE,INFLUENCER_HANDLE,CODE
8,11,Camera & Photography,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Shawnteltheprototype,1664431999
9,3,Music,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Shawnteltheprototype,1664431999
10,21,Sports,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Shawnteltheprototype,1664431999
11,19,"Beer, Wine & Spirits",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Shawnteltheprototype,1664431999
0,25,Electronics & Computers,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1664431625
1,139,"Restaurants, Food & Grocery",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1664431625
2,196,Fitness & Yoga,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1664431625
3,190,"Toys, Children & Baby",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1664431625
4,7,Shopping & Retail,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1664431625
5,3,Music,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1664431625
6,1,Television & Film,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1664431625
7,43,"Travel, Tourism & Aviation",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1664431625
8,11,Camera & Photography,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1664431625
9,80,Beauty & Cosmetics,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1664431625
10,1560,"Home Decor, Furniture & Garden",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1664431625
11,21,Sports,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1664431625
12,798,Healthy Lifestyle,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1664431625
13,1708,"Friends, Family & Relationships",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1664431625
14,291,Wedding,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1664431625
0,25,Electronics & Computers,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1662646169
1,139,"Restaurants, Food & Grocery",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1662646169
2,196,Fitness & Yoga,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1662646169
3,190,"Toys, Children & Baby",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1662646169
4,7,Shopping & Retail,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1662646169
5,3,Music,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1662646169
6,1,Television & Film,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1662646169
7,43,"Travel, Tourism & Aviation",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1662646169
8,11,Camera & Photography,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1662646169
9,80,Beauty & Cosmetics,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1662646169
10,1560,"Home Decor, Furniture & Garden",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1662646169
11,21,Sports,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1662646169
12,798,Healthy Lifestyle,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1662646169
13,1708,"Friends, Family & Relationships",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1662646169
14,291,Wedding,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1662646169
0,25,Electronics & Computers,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1662974858
1,139,"Restaurants, Food & Grocery",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1662974858
2,196,Fitness & Yoga,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1662974858
3,190,"Toys, Children & Baby",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1662974858
4,7,Shopping & Retail,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1662974858
5,3,Music,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1662974858
6,1,Television & Film,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1662974858
