,max,total,min,median,_OS_CREATED_AT,OS_MERCHANT,OS_HANDLE,INFLUENCER_HANDLE,CODE
18,0.8828,1162,0.8673,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1662974932
19,,1120,0.8828,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1662974932
0,0.4653,6324,,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1662646464
1,0.6227,5059,0.4653,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1662646464
2,0.677,4215,0.6227,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1662646464
3,0.708771,3613,0.677,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1662646464
4,0.7323,3162,0.708771,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1662646464
5,0.7508,2811,0.7323,True,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1662646464
6,0.7648,2529,0.7508,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1662646464
7,0.7766,2299,0.7648,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1662646464
8,0.787,2108,0.7766,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1662646464
9,0.7967,1946,0.787,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1662646464
10,0.8052,1807,0.7967,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1662646464
11,0.8136,1686,0.8052,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1662646464
12,0.8214,1581,0.8136,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1662646464
13,0.8293,1487,0.8214,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1662646464
14,0.8375,1405,0.8293,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1662646464
15,0.8458,1331,0.8375,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1662646464
16,0.8558,1264,0.8458,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1662646464
17,0.8676,1204,0.8558,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1662646464
18,0.8836,1150,0.8676,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1662646464
19,,1106,0.8836,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1662646464
0,0.275883,797342,,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1663087018
1,0.466236,637874,0.275883,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1663087018
