,code,name,weight,_OS_CREATED_AT,OS_MERCHANT,OS_HANDLE,INFLUENCER_HANDLE,CODE
22,asian,Asian,0.104853,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,the_vintage_bombshell,1664431640
23,african_american,African American,0.032767,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,the_vintage_bombshell,1664431640
24,asian,Asian,0.122521,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,sonabonds,1662975145
25,african_american,African American,0.100244,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,sonabonds,1662975145
26,white,White / Caucasian,0.71285,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,sonabonds,1662975145
27,hispanic,Hispanic,0.064385,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,sonabonds,1662975145
28,white,White / Caucasian,0.71287,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,sonabonds,1662645528
29,hispanic,Hispanic,0.064358,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,sonabonds,1662645528
30,asian,Asian,0.122524,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,sonabonds,1662645528
31,african_american,African American,0.100247,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,sonabonds,1662645528
32,african_american,African American,0.100247,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,sonabonds,1664431621
33,white,White / Caucasian,0.71287,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,sonabonds,1664431621
34,asian,Asian,0.122524,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,sonabonds,1664431621
35,hispanic,Hispanic,0.064358,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,sonabonds,1664431621
36,white,White / Caucasian,0.520829,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,theregoesjonathan,1662645345
37,hispanic,Hispanic,0.078534,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,theregoesjonathan,1662645345
38,asian,Asian,0.32051,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,theregoesjonathan,1662645345
39,african_american,African American,0.080127,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,theregoesjonathan,1662645345
40,african_american,African American,0.080127,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,theregoesjonathan,1664431623
41,white,White / Caucasian,0.520829,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,theregoesjonathan,1664431623
42,asian,Asian,0.32051,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,theregoesjonathan,1664431623
43,hispanic,Hispanic,0.078534,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,theregoesjonathan,1664431623
44,asian,Asian,0.32051,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,theregoesjonathan,1662975121
45,african_american,African American,0.080127,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,theregoesjonathan,1662975121
46,white,White / Caucasian,0.520829,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,theregoesjonathan,1662975121
47,hispanic,Hispanic,0.078534,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,theregoesjonathan,1662975121
48,asian,Asian,0.155784,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,mizzerybell,1664431845
49,african_american,African American,0.155784,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,mizzerybell,1664431845
50,white,White / Caucasian,0.595645,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,mizzerybell,1664431845
51,hispanic,Hispanic,0.092787,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,mizzerybell,1664431845
52,white,White / Caucasian,0.595645,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,mizzerybell,1662645791
53,hispanic,Hispanic,0.092787,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,mizzerybell,1662645791
54,asian,Asian,0.155784,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,mizzerybell,1662645791
55,african_american,African American,0.155784,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,mizzerybell,1662645791
56,asian,Asian,0.155784,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,mizzerybell,1662974792
57,white,White / Caucasian,0.595645,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,mizzerybell,1662974792
58,african_american,African American,0.155784,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,mizzerybell,1662974792
59,hispanic,Hispanic,0.092787,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,mizzerybell,1662974792
60,asian,Asian,0.162718,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,lisettejyoga,1662974830
61,white,White / Caucasian,0.594547,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,lisettejyoga,1662974830
62,african_american,African American,0.153331,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,lisettejyoga,1662974830
63,hispanic,Hispanic,0.089404,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,lisettejyoga,1662974830
64,asian,Asian,0.162742,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,lisettejyoga,1664431613
65,african_american,African American,0.153353,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,lisettejyoga,1664431613
66,white,White / Caucasian,0.594635,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,lisettejyoga,1664431613
67,hispanic,Hispanic,0.08927,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,lisettejyoga,1664431613
68,white,White / Caucasian,0.594538,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,lisettejyoga,1662645669
69,african_american,African American,0.153328,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,lisettejyoga,1662645669
70,hispanic,Hispanic,0.089418,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,lisettejyoga,1662645669
71,asian,Asian,0.162716,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,lisettejyoga,1662645669
72,asian,Asian,0.189535,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,satisfylagoon,1664431864
73,african_american,African American,0.0,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,satisfylagoon,1664431864
74,white,White / Caucasian,0.69496,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,satisfylagoon,1664431864
75,hispanic,Hispanic,0.115506,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,satisfylagoon,1664431864
76,white,White / Caucasian,0.69496,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,satisfylagoon,1662974792
77,asian,Asian,0.189535,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,satisfylagoon,1662974792
78,african_american,African American,0.0,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,satisfylagoon,1662974792
79,hispanic,Hispanic,0.115506,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,satisfylagoon,1662974792
80,white,White / Caucasian,0.69496,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,satisfylagoon,1662645663
81,african_american,African American,0.0,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,satisfylagoon,1662645663
82,hispanic,Hispanic,0.115506,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,satisfylagoon,1662645663
83,asian,Asian,0.189535,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,satisfylagoon,1662645663
84,asian,Asian,0.08272,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,aryyzona,1662974735
85,white,White / Caucasian,0.601102,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,aryyzona,1662974735
86,african_american,African American,0.055147,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,aryyzona,1662974735
87,hispanic,Hispanic,0.261031,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,aryyzona,1662974735
88,african_american,African American,0.06146,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,aryyzona,1662645893
89,white,White / Caucasian,0.58623,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,aryyzona,1662645893
90,asian,Asian,0.094553,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,aryyzona,1662645893
91,hispanic,Hispanic,0.257757,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,aryyzona,1662645893
92,asian,Asian,0.082765,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,aryyzona,1664431616
93,african_american,African American,0.062074,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,aryyzona,1664431616
