,_OS_CREATED_AT,OS_MERCHANT,OS_HANDLE,INFLUENCER_HANDLE,CODE,notable_users_ratio,audience_credibility,credibility_class
10,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,josie_ely,1662974875,0.2461,0.4216,bad
11,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,josie_ely,1664431885,0.2487,0.4227,bad
12,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,sonabonds,1662975145,0.313298,0.680247,bad
13,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,sonabonds,1662645528,0.313298,0.680247,bad
14,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,sonabonds,1664431621,0.313298,0.680247,bad
15,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,theregoesjonathan,1662645345,0.1243,0.3061,bad
16,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,theregoesjonathan,1664431623,0.1242,0.3039,bad
17,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,theregoesjonathan,1662975121,0.1221,0.3046,bad
18,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,mizzerybell,1664431845,0.2776,0.6868,bad
19,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,mizzerybell,1662645791,0.2871,0.6907,bad
20,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,mizzerybell,1662974792,0.2858,0.6894,bad
21,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,soundslikemyexx,1664432219,0.1526,0.91,high
22,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,soundslikemyexx,1662974808,0.158,0.9137,high
23,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,soundslikemyexx,1662645536,0.1568,0.9154,high
24,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,gyda.bell,1664431478,0.0391,0.2502,bad
25,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,gyda.bell,1662645545,0.037,0.2466,bad
26,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,gyda.bell,1662975279,0.0368,0.2428,bad
27,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,big1500_,1664431838,0.436572,0.674601,bad
28,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,big1500_,1662645635,0.436572,0.674601,bad
29,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,big1500_,1662975245,0.436572,0.674601,bad
30,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,e_l_d,1662645744,0.2324,0.7189,bad
31,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,e_l_d,1662974836,0.2321,0.7191,bad
32,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,e_l_d,1664431549,0.2328,0.7183,bad
33,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,lisettejyoga,1662974830,0.2873,0.6675,bad
34,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,lisettejyoga,1664431613,0.294,0.6753,bad
35,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,lisettejyoga,1662645669,0.2896,0.6732,bad
36,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,kimberlie.kathleen,1662646011,0.5484,0.7194,bad
37,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,kimberlie.kathleen,1664431822,0.5507,0.719,bad
38,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,kimberlie.kathleen,1662974840,0.5513,0.7237,bad
39,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,satisfylagoon,1664431864,0.1381,0.7357,bad
40,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,satisfylagoon,1662974792,0.141,0.7342,bad
41,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,satisfylagoon,1662645663,0.1422,0.7395,bad
42,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,aryyzona,1662974735,0.258,0.7899,bad
43,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,aryyzona,1662645893,0.2586,0.7851,bad
44,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,aryyzona,1664431616,0.2514,0.7966,bad
45,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,avaireland729,1662974791,0.0736,0.4241,bad
46,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,avaireland729,1664431764,0.0781,0.4297,bad
47,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,avaireland729,1662645672,0.0792,0.4361,bad
48,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,jessicabmathie,1662975085,0.385534,0.735236,bad
