,max,total,min,median,_OS_CREATED_AT,OS_MERCHANT,OS_HANDLE,INFLUENCER_HANDLE,CODE
17,0.915916,95689,0.909463,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1663087018
18,0.925182,91356,0.915916,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1663087018
19,,87348,0.925182,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1663087018
0,0.704539,502305,,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1664431484
1,0.768642,401844,0.704539,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1664431484
2,0.801014,334849,0.768642,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1664431484
3,0.821375,287005,0.801014,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1664431484
4,0.83565,251152,0.821375,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1664431484
5,0.846627,223275,0.83565,True,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1664431484
6,0.8555,200922,0.846627,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1664431484
7,0.863,182651,0.8555,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1664431484
8,0.8695,167456,0.863,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1664431484
9,0.875298,154584,0.8695,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1664431484
10,0.88053,143533,0.875298,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1664431484
11,0.8854,133927,0.88053,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1664431484
12,0.890039,125576,0.8854,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1664431484
13,0.894598,118167,0.890039,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1664431484
14,0.8992,111637,0.894598,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1664431484
15,0.904061,105735,0.8992,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1664431484
16,0.909463,100461,0.904061,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1664431484
17,0.915916,95689,0.909463,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1664431484
18,0.925182,91356,0.915916,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1664431484
