,code,weight,_OS_CREATED_AT,OS_MERCHANT,OS_HANDLE,INFLUENCER_HANDLE,CODE
20,MALE,0.177875,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,josie_ely,1662974875
21,FEMALE,0.822125,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,josie_ely,1662974875
22,MALE,0.17876,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,josie_ely,1664431885
23,FEMALE,0.82124,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,josie_ely,1664431885
24,MALE,0.456012,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,sonabonds,1662975145
25,FEMALE,0.543988,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,sonabonds,1662975145
26,FEMALE,0.543988,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,sonabonds,1662645528
27,MALE,0.456012,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,sonabonds,1662645528
28,FEMALE,0.543988,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,sonabonds,1664431621
29,MALE,0.456012,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,sonabonds,1664431621
30,FEMALE,0.514151,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,theregoesjonathan,1662645345
31,MALE,0.485849,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,theregoesjonathan,1662645345
32,FEMALE,0.513921,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,theregoesjonathan,1664431623
33,MALE,0.486079,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,theregoesjonathan,1664431623
34,MALE,0.488885,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,theregoesjonathan,1662975121
35,FEMALE,0.511115,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,theregoesjonathan,1662975121
36,MALE,0.509458,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,mizzerybell,1664431845
37,FEMALE,0.490542,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,mizzerybell,1664431845
38,FEMALE,0.497845,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,mizzerybell,1662645791
39,MALE,0.502155,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,mizzerybell,1662645791
40,MALE,0.510833,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,mizzerybell,1662974792
41,FEMALE,0.489167,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,mizzerybell,1662974792
42,MALE,0.088314,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,soundslikemyexx,1664432219
43,FEMALE,0.911686,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,soundslikemyexx,1664432219
44,MALE,0.08872,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,soundslikemyexx,1662974808
45,FEMALE,0.91128,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,soundslikemyexx,1662974808
46,FEMALE,0.910418,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,soundslikemyexx,1662645536
47,MALE,0.089582,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,soundslikemyexx,1662645536
48,MALE,0.530323,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,gyda.bell,1664431478
49,FEMALE,0.469677,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,gyda.bell,1664431478
50,MALE,0.53871,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,gyda.bell,1662645545
51,FEMALE,0.46129,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,gyda.bell,1662645545
52,MALE,0.533142,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,gyda.bell,1662975279
53,FEMALE,0.466858,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,gyda.bell,1662975279
54,FEMALE,0.593407,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,big1500_,1664431838
55,MALE,0.406593,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,big1500_,1664431838
56,FEMALE,0.593407,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,big1500_,1662645635
57,MALE,0.406593,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,big1500_,1662645635
58,MALE,0.406593,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,big1500_,1662975245
59,FEMALE,0.593407,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,big1500_,1662975245
60,FEMALE,0.890451,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,e_l_d,1662645744
61,MALE,0.109549,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,e_l_d,1662645744
62,FEMALE,0.892078,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,e_l_d,1662974836
63,MALE,0.107922,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,e_l_d,1662974836
64,MALE,0.106234,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,e_l_d,1664431549
65,FEMALE,0.893766,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,e_l_d,1664431549
66,MALE,0.34589,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,lisettejyoga,1662974830
67,FEMALE,0.65411,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,lisettejyoga,1662974830
68,MALE,0.34636,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,lisettejyoga,1664431613
69,FEMALE,0.65364,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,lisettejyoga,1664431613
70,FEMALE,0.654686,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,lisettejyoga,1662645669
71,MALE,0.345314,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,lisettejyoga,1662645669
72,FEMALE,0.848903,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,kimberlie.kathleen,1662646011
73,MALE,0.151097,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,kimberlie.kathleen,1662646011
74,MALE,0.148154,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,kimberlie.kathleen,1664431822
75,FEMALE,0.851846,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,kimberlie.kathleen,1664431822
76,FEMALE,0.852317,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,kimberlie.kathleen,1662974840
77,MALE,0.147683,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,kimberlie.kathleen,1662974840
78,MALE,0.25725,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,satisfylagoon,1664431864
79,FEMALE,0.74275,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,satisfylagoon,1664431864
80,FEMALE,0.746324,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,satisfylagoon,1662974792
81,MALE,0.253676,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,satisfylagoon,1662974792
82,FEMALE,0.741543,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,satisfylagoon,1662645663
83,MALE,0.258457,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,satisfylagoon,1662645663
84,MALE,0.577868,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,aryyzona,1662974735
85,FEMALE,0.422132,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,aryyzona,1662974735
86,MALE,0.571334,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,aryyzona,1662645893
87,FEMALE,0.428666,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,aryyzona,1662645893
88,MALE,0.57755,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,aryyzona,1664431616
89,FEMALE,0.42245,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,aryyzona,1664431616
90,MALE,0.854307,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,avaireland729,1662974791
91,FEMALE,0.145693,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,avaireland729,1662974791
92,MALE,0.852507,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,avaireland729,1664431764
93,FEMALE,0.147493,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,avaireland729,1664431764
94,FEMALE,0.152403,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,avaireland729,1662645672
95,MALE,0.847597,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,avaireland729,1662645672
96,MALE,0.233766,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,jessicabmathie,1662975085
97,FEMALE,0.766234,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,jessicabmathie,1662975085
98,MALE,0.23362,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,jessicabmathie,1664431827
99,FEMALE,0.76638,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,jessicabmathie,1664431827
0,MALE,0.233946,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,jessicabmathie,1662645825
1,FEMALE,0.766054,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,jessicabmathie,1662645825
0,MALE,0.026164,2022-10-21 11:05:17.701729,Necklow,necklowco,labor_nurse_christina,1664431724
1,FEMALE,0.973836,2022-10-21 11:05:17.701729,Necklow,necklowco,labor_nurse_christina,1664431724
2,MALE,0.025862,2022-10-21 11:05:17.701729,Necklow,necklowco,labor_nurse_christina,1662975151
3,FEMALE,0.974138,2022-10-21 11:05:17.701729,Necklow,necklowco,labor_nurse_christina,1662975151
4,FEMALE,0.974302,2022-10-21 11:05:17.701729,Necklow,necklowco,labor_nurse_christina,1662645604
5,MALE,0.025698,2022-10-21 11:05:17.701729,Necklow,necklowco,labor_nurse_christina,1662645604
