,code,name,weight,_OS_CREATED_AT,OS_MERCHANT,OS_HANDLE,INFLUENCER_HANDLE,CODE
3,african_american,African American,0.05956,2022-10-21 11:05:17.701729,Necklow,necklowco,labor_nurse_christina,1664431724
4,asian,Asian,0.131905,2022-10-21 11:05:17.701729,Necklow,necklowco,labor_nurse_christina,1662975151
5,white,White / Caucasian,0.71772,2022-10-21 11:05:17.701729,Necklow,necklowco,labor_nurse_christina,1662975151
6,african_american,African American,0.058194,2022-10-21 11:05:17.701729,Necklow,necklowco,labor_nurse_christina,1662975151
7,hispanic,Hispanic,0.092181,2022-10-21 11:05:17.701729,Necklow,necklowco,labor_nurse_christina,1662975151
8,white,White / Caucasian,0.716057,2022-10-21 11:05:17.701729,Necklow,necklowco,labor_nurse_christina,1662645604
9,hispanic,Hispanic,0.091158,2022-10-21 11:05:17.701729,Necklow,necklowco,labor_nurse_christina,1662645604
10,asian,Asian,0.133769,2022-10-21 11:05:17.701729,Necklow,necklowco,labor_nurse_christina,1662645604
11,african_american,African American,0.059016,2022-10-21 11:05:17.701729,Necklow,necklowco,labor_nurse_christina,1662645604
12,african_american,African American,0.074734,2022-10-21 11:05:17.701729,Necklow,necklowco,raisa.bullard,1662645430
13,hispanic,Hispanic,0.263335,2022-10-21 11:05:17.701729,Necklow,necklowco,raisa.bullard,1662645430
14,white,White / Caucasian,0.565845,2022-10-21 11:05:17.701729,Necklow,necklowco,raisa.bullard,1662645430
15,asian,Asian,0.096087,2022-10-21 11:05:17.701729,Necklow,necklowco,raisa.bullard,1662645430
16,asian,Asian,0.085267,2022-10-21 11:05:17.701729,Necklow,necklowco,raisa.bullard,1662975031
17,african_american,African American,0.085267,2022-10-21 11:05:17.701729,Necklow,necklowco,raisa.bullard,1662975031
18,white,White / Caucasian,0.575555,2022-10-21 11:05:17.701729,Necklow,necklowco,raisa.bullard,1662975031
19,hispanic,Hispanic,0.25391,2022-10-21 11:05:17.701729,Necklow,necklowco,raisa.bullard,1662975031
20,white,White / Caucasian,0.60507,2022-10-21 11:05:17.701729,Necklow,necklowco,raisa.bullard,1664432388
21,hispanic,Hispanic,0.258301,2022-10-21 11:05:17.701729,Necklow,necklowco,raisa.bullard,1664432388
